#;Modelo;Descricao PT;NCM;Fonte NCM;Qtd;Peso bruto total;FOB total;FOB/kg
1;HY-97;Balança de gancho portátil (dinamômetro de pesagem) — aparelho de pesagem, outros, capacidade não superior a 30 kg;84238900;ia;3100;458.8;2071.71;4.5155
2;HY-5178;Massageador elétrico mecânico para celulite (aparelho mecânico com função própria, não especificado em outras posições);84798999;ia;90;63;122.98;1.9521
3;HY-5169;HY-5169 — Cabide dobrável para calças com 5 tubos (embalagem saco OPP);42029200;siscomex;5796;1725;2591.3;1.5022
4;HY-80036;HY-80036 — Lixadeira elétrica para pés - caixa pequena, bateria 300mA;85369060;siscomex;9200;1209.8;7924.19;6.55
5;HY-5110;HY-5110 — Máquina de pipoca preta 220V plugue redondo;85361000;siscomex;480;360;3359.99;9.3333
6;HY-5047;HY-5047 — Máquina de pipoca preta 110V plugue redondo;85361000;siscomex;1200;900;8399.97;9.3333
7;HY-5113;Garrafa de água dobrável em formato de bola de futebol;19059010;siscomex;910;171.5;225.83;1.3168
8;HY-5126;Porta-escova de dentes com esterilizador ultravioleta (UV) de uso doméstico;84198999;ia;4000;1250;2389.38;1.9115
9;HY-5123;Secadora inteligente de uso doméstico, capacidade não superior a 10 kg (peso de roupa seca);84512100;ia;1000;320;1789.7;5.5928
10;HY-5104;HY-5104 — Kit 6 peças de silicone para Air Fryer (180g);69022010;siscomex;7500;1400;653.66;0.4669
11;HY-5062;HY-5062 — Lupa amplificadora de tela para TV e celular;85177120;siscomex;2000;875;459.55;0.5252
12;HY-5156;HY-5156 — Filtro de café em aço inoxidável (embalagem caixa branca);42021100;siscomex;10000;550;1579.44;2.8717
13;HY-5179;Tosquiadeira 4 em 1 para animais de estimação — aparelho mecânico com função própria;84798999;ia;3000;900;1756.89;1.9521
14;HY-5180;Removedor de pulgas para animais de estimação com redes coletoras, aparelho mecânico com função própria;84798999;ia;3000;900;1756.89;1.9521
15;HY-618;Chave de porcas manual de abertura variável para macaco hidráulico, com acessórios;82041200;ia;10000;3000;3298.2;1.0994
16;HY-619;Ponteiras curtas (bits) para parafusadeiras — ferramentas intercambiáveis;82079000;ia;10000;1000;1874;1.874
17;HY-622;Chave de catraca com soquetes intercambiáveis (chave de catraca com rolete);82042000;ia;3000;1400;1616.16;1.1544
18;KHS-GF4015;Escova alisadora elétrica de cabelo;85163200;ia;4000;1125;4050.79;3.6007
19;H002;Canivete dobrável com lâmina(s) dobrável(is);82119320;ia;3000;594;853.64;1.4371
20;H004-25;Serra manual dobrável 25 cm;82021000;ia;500;101.5;125.05;1.232
21;H004-30;Serra manual dobrável 30 cm;82021000;ia;500;111.5;137.37;1.232
